name,add1,add2,time
강남 2호점,서울 강남구 역삼동 822-2,서울 강남구 테헤란로 107 메디타워2층,08:00~24:00
미아역,서울 강북구 미아동 197-5,서울 강북구 도봉로 204 미아역 맥도날드,07:00~02:00
마리오 아울렛,서울 금천구 가산동 60-22,서울 금천구 디지털로 185 마리오아울렛1,09:00~22:00
등촌 DT,서울 강서구 등촌동 630,서울 강서구 양천로 546,24시간
잠실역,서울 송파구 신천동 7-25,서울 송파구 송파대로 558,06:00 ~ 24:00
성균관대,서울 종로구 명륜2가 197-1,서울 종로구 창경궁로 241-1,08:00~24:00
석촌역,서울 송파구 송파동 84,서울 송파구 백제고분로 390,24시간
서울교대점,서울 서초구 서초동 1674-5,서울 서초구 서초대로 316(서초동) ,10:00~22:30
양평SK DT,서울 영등포구 양평동3가 80-2,서울 영등포구 선유로 195,24시간
신월남부 DT점,서울 양천구 신월동 525-1,서울 양천구 남부순환로 553 (신월동) ,07:00~24:00
연세대점,서울 서대문구 창천동 33-12,서울 서대문구 연세로 33,24시간
삼성역,서울 강남구 삼성동 158-15,서울 강남구 삼성로92길 29 도일빌딩 1층,24시간
합정메세나폴리스,서울 마포구 서교동 490,서울 마포구 양화로 45 메세나폴리스 2층 맥도날드,"일~목 07:00~24:00, 금~토 7:00~01:00"
여의도,서울 영등포구 여의도동 23,서울 영등포구 국제금융로 10 L3층,07:00~22:00
강남구청,서울 강남구 논현동 242-29,서울 강남구 선릉로 667,24시간
어린이대공원점,서울 광진구 화양동 212,서울 광진구 광나루로 392,09:00~02:00
명동 2호점,서울 중구 회현동3가 1-5,서울 중구 퇴계로 116-1 (회현동 3가),10:30~22:00
가산디지털,서울 금천구 가산동 50-3,서울 금천구 벚꽃로 298 대륭포스트타워 6차,08:00~24:00
양재 SK DT,서울 서초구 양재동 81,서울 서초구 바우뫼로 178,24시간
가산비지니스센터점,서울 금천구 가산동 371-6,서울 금천구 가산디지털1로 165 (가산동),07:00~22:00
이수점,서울 동작구 사당동 147-29,서울 동작구 사당로 300 (사당동) ,07:00~22:00
신도림 디큐브,서울 구로구 신도림동 692,서울 구로구 경인로 662 디큐브시티 B2,07:00~22:00
공덕점,서울 마포구 도화동 559,서울 마포구 마포대로 53 (도화동),07:00~22:00
중앙대,서울 동작구 흑석동 221,서울 동작구 흑석로 84 (R&D센터 지하1층 맥도날드),08:00~24:00
한티역,서울 강남구 대치동 938-22,서울 강남구 도곡로 409,24시간
선릉,서울 강남구 역삼동 707-27,서울 강남구 테헤란로 326 아이타워 1층 맥도날드,08:00~24:00
서초GS점,서울 서초구 서초동 1536-1,서울 서초구 효령로49길 52 (서초동) ,"평일 07시~22시
주말 08시~20시"
명동,서울 중구 명동1가 48-2,서울 중구 명동7길 8,07:00~24:00
구로디지털,서울 구로구 구로동 197-21,서울 구로구 디지털로31길 12 태평양물산 1층 맥도날드,24시간
종로 3,서울 종로구 종로3가 10,서울 종로구 종로 115,07:00~22:00
은평이마트,서울 은평구 응암동 90-1,서울 은평구 은평로 111 은평이마트 8층 맥도날드,"10:00~22:00 2,4째주 일요일 휴무"
압구정CGV,서울 강남구 신사동 603-2,서울 강남구 논현로 848 1층 맥도날드,08:00~22:00
서초뱅뱅,서울 서초구 서초동 1338-20,"서울 서초구 강남대로 305, 101호(서초 현대렉시온)",24시간
쌍문DT점,서울 도봉구 쌍문동 700,서울 도봉구 도봉로 541 (쌍문동) ,07:00~02:00
성수이마트,서울 성동구 성수동2가 333-16,서울 성동구 뚝섬로 379,"10:00~22:00 2,4째주 일요일 휴무"
양재,서울 서초구 양재동 24,서울 서초구 강남대로 213,07:00~24:00
신도림 테크노점,서울 구로구 구로동 3-25,서울 구로구 새말로 97 (구로동),09:00~24:00
서울역,서울 용산구 동자동 43-205,서울 용산구 청파로 378 서울역 2층,04:30~01:00
종암SK,서울 성북구 종암동 10-15,서울 성북구 종암로 58,24시간
구산,서울 은평구 구산동 1-14,서울 은평구 연서로 131 홍천빌딩,24시간
가락DT점,서울 송파구 가락동 193-7,서울 송파구 동남로 196,07:00~24:00
신천,서울 송파구 잠실동 181-9,서울 송파구 올림픽로 108 맥스빌딩 1층,24시간
송정역,서울 강서구 공항동 45-38,"서울 강서구 공항대로 21 (공항동,맥도날드)",24시간
전농,서울 동대문구 전농동 295-96,서울 동대문구 전농로16길 8,08:00~24:00
파리공원점,서울 양천구 목동 908-25,서울 양천구 목동서로 45 (목동) ,07:00~24:00
연신내,서울 은평구 갈현동 456-28,서울 은평구 연서로 213,24시간
상봉이마트,서울 중랑구 망우동 506-1,서울 중랑구 상봉로 118 이마트상봉점 내 맥도날드,"10:00~22:30
2,4째주 일요일 휴무"
청담DT,서울 강남구 청담동 87-3,서울 강남구 도산대로 407,07:00~24:00
양천구청DT점,서울 양천구 신정동 323-20,서울 양천구 목동동로 71 (신정동) ,07:00~01:00
한양대,서울 성동구 행당동 31-7,서울 성동구 왕십리로 227,24시간
신내,서울 중랑구 신내동 666,서울 중랑구 봉화산로 194 신아타운1층 신내 맥도날드,24시간
대학로,서울 종로구 동숭동 1-34,서울 종로구 대학로 130 맥도날드,07:00~01:00
중계역,서울 노원구 상계동 763-2,서울 노원구 동일로 1341 장우빌딩 1층,24시간
구의역,서울 광진구 자양동 216-11,서울 광진구 아차산로 376,24시간
목동,서울 양천구 신정동 899-6,서울 양천구 목동로 221,24시간
중랑,서울 중랑구 상봉동 130-166,서울 중랑구 망우로 202 동성빌딩,08:00~24:00
중계,서울 노원구 중계동 359-14,서울 노원구 중계로 218,24시간
삼선,서울 성북구 동소문동1가 32-3,서울 성북구 동소문로 13 일화빌딩 1층,08:00~24:00
영등포,서울 영등포구 영등포동3가 10-4,서울 영등포구 경인로 855,07:00~02:00
신림,서울 관악구 신림동 1641-22,서울 관악구 신림로 310,24시간
안암,서울 성북구 안암동5가 102-33,서울 성북구 고려대로24길 42 방주빌딩,24시간
수유,서울 강북구 번동 418-17,서울 강북구 도봉로 342,24시간
방배,서울 서초구 방배동 909-9,서울 서초구 방배로 81 유경빌딩 1층,24시간
노량진,서울 동작구 노량진동 100-1,서울 동작구 노량진로 158,24시간
이태원,서울 용산구 이태원동 56-21,서울 용산구 이태원로 142-1,11:00 ~ 07:00
신월DT,서울 양천구 신월동 199-3,서울 양천구 남부순환로 404,24시간
장안사거리점,서울 동대문구 장안동 308-4,서울 동대문구 답십리로 291-1 (장안동) ,08:00~24:00
외대,서울 동대문구 이문동 305-2,서울 동대문구 휘경로 13,24시간
신사역,서울 강남구 신사동 514-15,서울 강남구 도산대로 123 2층,24시간
학동역,서울 강남구 논현동 129-1,서울 강남구 논현로 667,07:00~22:30
염창 DT점,서울 강서구 염창동 280-11,서울 강서구 공항대로71길 3 (염창동) ,07:00~24:00
명지대점,서울 서대문구 남가좌동 324-3,서울특별시 서대문구 거북골로 25 (남가좌동),08:00~22:00
숭실대,서울 동작구 상도동 505-5,서울 동작구 사당로 22 창주빌딩 1층,24시간
상계DT,서울 노원구 상계동 1022,서울 노원구 동일로 1612,24시간
양주휴게소DT,경기 양주시 장흥면 삼하리 250-16,경기 양주시 장흥면 서울외곽순환고속도로 58 양주간이휴게시설내 양주휴게소DT점,24시간
상일동점,서울 강동구 상일동 502,서울 강동구 상일로6길 39,07:00~22:00
방학역DT점,서울 도봉구 도봉동 620-25,서울 도봉구 도봉로 735,08:00~01:00
송파잠실DT,서울 송파구 잠실동 305-15,서울 송파구 도곡로 434,24시간
과학기술대점,서울 노원구 공릉동 435-2,서울 노원구 공릉로 231,07:00~23:00
서울시흥DT,서울 금천구 시흥동 903-4,서울 금천구 시흥대로 184,24시간
서울번동DT점,서울 강북구 번동 106,서울특별시 강북구 월계로 191,07:00~02:00
미아DT,서울 강북구 미아동 682-12,서울 강북구 삼양로 158,24시간
우장산DT,서울시 강서구 화곡동 1026,서울시 강서구 화곡동 1026,08:00~22:00
굽은다리역DT,서울 강동구 천호동 31-10,서울 강동구 양재대로 1587,24시간
서울둔촌DT,서울 강동구 둔촌동 517-2,서울 강동구 양재대로 1382,24시간
고척DT,서울 구로구 고척동 73-20,서울 구로구 경인로 393,07:00~02:00
보라매,서울 영등포구 신길동 505,서울 영등포구 여의대방로 145 세인트빌딩,24시간
코엑스,서울 강남구 삼성동 159,서울 강남구 영동대로 513 B1 A102 맥도날드,07:00~21:00
서울 상암 DMC,서울 마포구 상암동 1602,서울 마포구 월드컵북로 400 1층 맥도날드,24시간
홍제역,서울 서대문구 홍제동 253-11,서울 서대문구 통일로 442-1,24시간
강남삼성DT,서울 강남구 삼성동 113-7,서울 강남구 봉은사로 432,07:00~22:00
동묘,서울 종로구 창신동 290,서울 종로구 종로 339,24시간
망원점,서울 마포구 망원동 377-19,서울 마포구 월드컵로 81 (망원동),24시간
위례신도시,서울 송파구 장지동 896,서울 송파구 위례광장로 290번지 위례중앙푸르지오 2단지,24시간
세이브존 노원,서울 노원구 하계동 284,서울 노원구 한글비석로 57 (하계동),07:00~01:00
서울시청,서울 중구 을지로1가 32,서울 중구 남대문로9길 51 효덕빌딩,07:00~24:00
개금점,부산 부산진구 개금동 618-2,"부산 부산진구 복지로 70, 상가 103호 (개금동, 현대아이아파트)",09:00~24:00
부산기장 DT,부산 기장군 기장읍 청강리 112-1,부산 기장군 기장읍 기장대로 500,24시간
부산황령DT점,부산 남구 대연동 201,부산 남구 황령대로 374 (대연동),07:00~01:00
부산송정DT,부산 해운대구 송정동 135-2,부산 해운대구 해운대로 1114,24시간
부산온천 SK DT,부산 동래구 온천동 1431-4,부산 동래구 충렬대로 121,24시간
부산 교대 DT점,부산 연제구 거제동 1-1,부산 연제구 중앙대로 1179 (거제동),24시간
초읍DT점,부산 부산진구 초읍동 171-6,부산 부산진구 성지로 152 (초읍동) ,07:00~01:00
범일 SK DT,부산 동구 범일동 828-8,부산 동구 자성로 127,24시간
만덕 DT,부산 북구 만덕동 759-3,부산 북구 덕천로 179,24시간
가야,부산 부산진구 가야동 50-4,부산 부산진구 가야대로 607,08:00~24:00
화명 DT,부산 북구 화명동 193-1,부산 북구 금곡대로 360,24시간
시청 DT,부산 연제구 연산동 1364-2,부산 연제구 중앙대로 1031 (연산동),24시간
달맞이 DT,부산 해운대구 중동 1777-5,"부산 해운대구 좌동순환로 455 (중동,맥도날드)",24시간
원동점,부산 동래구 안락동 65-2,부산 동래구 충렬대로 486 (안락동),24시간
토곡,부산 연제구 연산동 399-10,부산 연제구 과정로 226,08:00~24:00
부곡,부산 금정구 부곡동 63-11,부산 금정구 수림로 12 에스케이아파트 상가 맥도날드,08:00~24:00
좌동 1,부산 해운대구 좌동 1407-5,부산 해운대구 좌동순환로 181,24시간
경성대,부산 남구 대연동 72-23,부산 남구 수영로 304 대승타워1층,09:00~24:00
동아대,부산 사하구 하단동 492-1,부산 사하구 낙동대로 548,24시간
부산대 2,부산 금정구 장전동 302-9,부산 금정구 금정로60번길 24 해자빌딩 1층 맥도날드 부산대2호점,24시간
당감 DT,부산 부산진구 당감동 282-30,부산 부산진구 동평로 91,24시간
주례,부산 사상구 주례동 60-10,부산 사상구 가야대로 368,24시간
사직점,부산 동래구 사직동 92-7,부산 동래구 사직북로 1 (사직동),08:00~01:00
부산수영SK DT점,부산 수영구 수영동 450-9,부산 수영구 연수로 411 (수영동),07:00~01:00
부산 구남DT점,부산 북구 구포동 920-16,부산 북구 백양대로 1045 (구포동),07:00~01:00
부산구서DT,부산 금정구 구서동 163-2,부산 금정구 중앙대로 1957,24시간
부산영도DT,부산 영도구 봉래동3가 82-2,부산 영도구 태종로 150,24시간
부산동명대DT점,부산 남구 용당동 524,부산 남구 신선로 424,07:00~01:00
부산사직DT점,부산 동래구 사직동 105-10,부산 동래구 아시아드대로 110,07:00~24:00
부산덕천 DT,부산 북구 덕천동 554-1,부산 북구 금곡대로 107,24시간
해운대DT,부산 해운대구 우동 626-13,부산 해운대구 해운대로570번길 51,24시간
부산범전DT,부산 부산진구 범전동 383-25,부산 부산진구 중앙대로 823,24시간
부산다대DT점,부산 사하구 다대동 1160-12,부산 사하구 다대로 532-1,24시간
서면 3,부산 부산진구 부전동 172-6,부산 부산진구 중앙대로692번길 33,24시간
부산엄궁 DT,부산 사상구 엄궁동 367-3,부산 사상구 낙동대로 745,24시간
부산정관DT점,부산 기장군 정관읍 매학리 720-3,부산 기장군 정관읍 정관로 584,24시간
부산 남천DT점,부산 수영구 남천동 30-4,부산 수영구 수영로 470,24시간
부산명지DT점,부산 강서구 명지동 3420-7,부산 강서구 명지국제8로 270,07:00~01:00
부산하단DT,부산 사하구 하단동 619-20,부산 사하구 낙동대로 431,24시간
부산초량 DT,부산 동구 초량동 1198-7,부산 동구 중앙대로 228,24시간
대구태전 DT,대구 북구 태전동 409-12,대구 북구 칠곡중앙대로 303,24시간
동성로교보,대구 중구 동성로2가 88-25,대구 중구 국채보상로 586 (동성로2가),07:00~22:00
대구 수성DT,대구 수성구 수성동4가 1020-2,대구 수성구 달구벌대로 2345,07:00~24:00
부산송정DT,부산 해운대구 송정동 135-2,부산 해운대구 해운대로 1114,24시간
대구만촌DT점,대구 수성구 만촌동 853-1,대구 수성구 달구벌대로 2634 (만촌동),07:00~01:00
대구황금DT점,대구 수성구 황금동 567-11,대구 수성구 청수로 157 (황금동),24시간
대구 모다 DT점,대구 달서구 호산동 720-2,대구 달서구 달서대로 455,08:00~24:00
대구진천DT점,대구 달서구 진천동 608-6,대구 달서구 월배로 67 (진천동),07:00~24:00
대구희망DT점,대구 수성구 중동 70-10,대구 수성구 수성로 238 (중동),07:00~24:00
대구 침산DT,대구 북구 침산동 244-1,대구 북구 침산로 120,24시간
대구평리DT점,대구 서구 평리동 1407-1,대구 서구 서대구로 95 (평리동),24시간
대구시지DT점,대구 수성구 매호동 1087-1,대구 수성구 달구벌대로 3199 (매호동),07:00~01:00
용산 DT,대구 달서구 용산동 934,대구 달서구 용산로 222 (용산동),08:00~24:00
이마트 월배점,대구 달서구 대천동 555,대구 달서구 진천로 92,"10:00~22:30
2,4째주 일요일 휴무"
만촌이마트,대구 수성구 만촌동 1356-5,대구 수성구 동원로 136 이마트만촌점,"10:00~22:30
2,4 째주 일요일 휴무"
칠곡 2 DT,대구 북구 읍내동 1385-2,대구 북구 구암로 83,24시간
방촌 DT,대구 동구 방촌동 883-9,대구 동구 동촌로 243,24시간
달맞이 DT,부산 해운대구 중동 1777-5,"부산 해운대구 좌동순환로 455 (중동,맥도날드)",24시간
동성로 2,대구 중구 사일동 77,대구 중구 동성로 23-2,08:00~24:00
좌동 1,부산 해운대구 좌동 1407-5,부산 해운대구 좌동순환로 181,24시간
대구 본리DT점,대구 달서구 감삼동 346,대구 달서구 와룡로 134 (감삼동),07:00~24:00
대구 이곡DT,대구 달서구 이곡동 1244-3,대구 달서구 이곡공원로 8,24시간
대구상인DT,대구 달서구 상인동 54-2,대구 달서구 월곡로 338,24시간
대구두류DT점,대구 달서구 두류동 495-47,대구 달서구 달구벌대로 1684 (두류동),07:00~01:00
해운대DT,부산 해운대구 우동 626-13,부산 해운대구 해운대로570번길 51,24시간
대구복현DT점,대구 북구 복현동 364-5,대구 북구 동북로 303,07:00~01:00
대구 다사DT,대구 달성군 다사읍 죽곡리 5-23,대구 달성군 다사읍 달구벌대로 825,07:00~24:00
대구교대DT,대구 남구 대명동 1793-5,대구 남구 중앙대로 225,07:00~24:00
대구동호DT,대구 동구 신서동 718,대구 동구 안심로 403,24시간
문학DT점,인천 미추홀구 문학동 381-5,인천 미추홀구 매소홀로 600 (문학동),07:00~01:00
부평SK DT,인천 부평구 부평동 440-2,인천 부평구 부평대로 96,24시간
인천구산 DT,인천 부평구 구산동 1-4,인천 부평구 경인로 1191,24시간
구월DT점,인천 남동구 구월동 1120-16,인천 남동구 인주대로 514 (구월동),08:00~01:00
연희 DT,인천 서구 심곡동 255-2,인천 서구 서곶로 265,24시간
연수이마트,인천 연수구 동춘동 926-9,인천 연수구 경원대로 184,"10:00~22:00
2,4째주 일요일 휴무"
신흥DT점,인천 중구 신흥동3가 7-227,인천 중구 인항로 38 (신흥동3가) ,24시간
연수 GS DT점,인천 연수구 연수동 597,인천 연수구 먼우금로 200 (연수동) ,24시간
부평중앙,인천 부평구 부평동 212-65,인천 부평구 부평문화로 65,08:00~24:00
부평역,인천 부평구 부평동 738-21,인천 부평구 광장로 16,24시간
See&See,인천 남동구 구월동 1130,인천 남동구 예술로 198,10:00~23:00
동인천점,인천 중구 인현동 27-3,인천 중구 우현로 85-1 (인현동),08:00~02:00
만수DT점,인천 남동구 만수동 904-4,인천 남동구 백범로 229 (만수동),24시간
송도GS DT점,인천 연수구 송도동 8-18,인천 연수구 하모니로 128 (송도동),24시간
인천삼산DT점,인천 부평구 삼산동 226-7,인천 부평구 장제로 380 (삼산동) ,24시간
인천옥련 DT점,인천 연수구 옥련동 265-29,인천 연수구 비류대로 176 (옥련동) ,24시간
구월 아시아드 DT점,인천 남동구 구월동 1185,인천 남동구 남동대로 724,08:00~01:00
인천계산DT,인천 계양구 계산동 1083-3,인천 계양구 오조산로 39,24시간
광주쌍촌 DT,광주 서구 쌍촌동 964-9,광주 서구 상무대로 921-1,24시간
광주운암DT,광주 북구 운암동 1078-2,광주 북구 북문대로187번길 2,07:00~02:00
광주첨단DT점,광주 북구 용두동 311-15,광주 북구 임방울대로 1048 (용두동),08:00~02:00
광주동림DT,광주 북구 동림동 900-41,광주 북구 하남대로 635,24시간
용봉DT,광주 북구 용봉동 1130-8,광주 북구 설죽로 283,24시간
상무,광주 서구 치평동 1182,광주 서구 치평로 72,24시간
광주산정DT점,광주 광산구 산정동 143-16,광주 광산구 용아로 251 (산정동),07:00~02:00
전남대 DT,광주 북구 용봉동 127-1,광주 북구 우치로 134,24시간
광주월산DT,광주 남구 월산동 951-3,광주 남구 대남대로 393,24시간
광주진월DT,광주 남구 진월동 291-7,광주 남구 서문대로 697,07:00~24:00
경기 광주 DT,경기 광주시 쌍령동 155-18,경기 광주시 경충대로 1477,24시간
대전카이스트점,대전 유성구 가정동 2-23,대전 유성구 대덕대로 535,06:30~01:00
목원대점,대전 유성구 용계동 664-8,대전 유성구 도안북로 81 (용계동),08:00~24:00
대전가장DT,대전 서구 가장동 54-1,대전 서구 도산로 324,24시간
대전터미널점,대전 동구 용전동 63-3,대전 동구 동서대로 1689 (용전동),07:00~24:00
대전 센트럴 DT점,대전 중구 대흥동 522-1,대전 중구 중앙로 64,08:00~24:00
대전한남대DT점,대전 대덕구 중리동 230-15,대전 대덕구 한밭대로 1102 (중리동),24시간
세이브존 대전점,대전 서구 둔산동 1809,대전 서구 둔산로 201 (하계동),08:00~01:00
대전신탄진DT점,대전 대덕구 상서동 834-4,대전 대덕구 신탄진로 605 (상서동),06:30~00:30
대전 유천 DT점,대전 중구 유천동 327-4,대전 중구 계백로 1549 (유천동),07:00~01:00
대전가수원DT,대전 서구 가수원동 655-4,대전 서구 계백로 1124,24시간
대전 유성 DT점,대전 유성구 봉명동 446-5,대전 유성구 계룡로87번길 3 (봉명동),24시간
대전부사DT,대전 중구 부사동 87-14,대전 중구 충무로 139,24시간
울산 옥동,울산 남구 신정동 1639-36,울산 남구 문수로423번길 2,24시간
울산 병영,울산 중구 남외동 441-2,울산 중구 번영로 576,08:00~24:00
울산삼산DT,울산 남구 삼산동 1550-7,울산 남구 화합로 201,24시간
