name,add1,add2,time
울산호계 SK,울산 북구 신천동 452-1,울산 북구 산업로 1448,24시간
울산SK점,울산 남구 달동 819,울산 남구 중앙로 126 (달동) ,07:00~24:00
울산옥현,울산 남구 무거동 487-1,울산 남구 옥현로58번길 4,24시간
달동,울산 남구 달동 707-1,울산 남구 신정로 37,08:00~03:00
울산 굴화DT점,울산 울주군 범서읍 굴화리 28-8,울산 울주군 범서읍 울밀로 2877,07:00~24:00
울산 삼산로 DT,울산 남구 달동 1253-1,울산 남구 삼산로 230,24시간
울산 일산 DT,울산 동구 일산동 951-5,울산 동구 방어진순환도로 634,24시간
만가대 DT,경기 의정부시 용현동 60-1,경기 의정부시 민락로 11,24시간
병점DT점,경기 화성시 병점동 372-1,경기 화성시 경기대로 1004 (병점동),08:00~23:00
동판교,경기 성남시 분당구 삼평동 741,경기 성남시 분당구 대왕판교로606번길 58,24시간
오산세교DT점,경기 오산시 내삼미동 466-1,경기 오산시 경기대로 651,08:00~23:00
평내 DT,경기 남양주시 평내동 246-21,경기 남양주시 경춘로 1273,24시간
산본이마트,경기 군포시 산본동 1123,경기 군포시 산본로 347 이마트 내 3층,"10:00~22:00 2,4째주 일요일 휴무"
마장휴게소점,경기 이천시 마장면 목리 산 13-32,경기 이천시 마장면 중부고속도로 82,24시간
진접DT,경기 남양주시 진접읍 장현리 218,경기 남양주시 진접읍 금강로 1467,24시간
평택 GS,경기 평택시 용이동 470-5,경기 평택시 서동대로 3929,24시간
의정부역,경기 의정부시 의정부동 194-10,경기 의정부시 행복로 11,24시간
오리역점,경기 성남시 분당구 구미동 157,경기 성남시 분당구 성남대로 45 (구미동),08:00~22:00
동수원GS DT,경기 수원시 영통구 이의동 422-5,경기 수원시 영통구 창룡대로 370-1,24시간
마두역점,경기 고양시 일산동구 마두동 798-6,경기 고양시 일산동구 중앙로 1190 (마두동),08:00~21:00
야탑 뉴코아,경기 성남시 분당구 야탑동 357-1,경기 성남시 분당구 야탑로81번길 11 (야탑동) ,07:00~22:00
용인수지DT,경기 용인시 수지구 풍덕천동 43-5,경기 용인시 수지구 신수로 677,24시간
중산DT점,경기 고양시 일산동구 중산동 1667-5,경기 고양시 일산동구 고양대로 745 (중산동) ,07:00~01:00
수원GS DT,경기 수원시 권선구 권선동 1029,경기 수원시 권선구 권선로 684,24시간
용인마북 DT,경기 용인시 기흥구 마북동 552-4,경기 용인시 기흥구 용구대로 2420,24시간
평택서정 DT점,경기 평택시 서정동 779-5,경기 평택시 경기대로 1395 (서정동) ,07:00~23:00
김포고촌SK DT점,경기 김포시 고촌읍 신곡리 532-25,경기 김포시 고촌읍 김포대로 336,08:00~22:00
의정부금오DT점,경기 의정부시 금오동 99-6,경기 의정부시 호국로 1604 (금오동) ,07:00~22:00
안양 비산 DT점,경기 안양시 동안구 비산동 576-13,경기 안양시 동안구 경수대로 839 (비산동) ,07:00~01:00
양주덕계DT,경기 양주시 덕계동 495-8,경기 양주시 평화로 1511,24시간
북수원DT점,경기 수원시 장안구 송죽동 451-1,경기 수원시 장안구 경수대로 991 (송죽동),07:00~01:00
의정부녹양DT점,경기 의정부시 가능동 106-1,경기 의정부시 서부로 717 (가능동) ,07:00~01:00
동탄SK점,경기 화성시 능동 1051-1,경기 화성시 효행로 1260 (능동),08:00~23:00
오산DT점,경기 오산시 원동 372-5,경기 오산시 경기대로 170,24시간
평택 세교DT점,경기 평택시 세교동 277-10,경기 평택시 경기대로 570 (세교동) ,24시간
수원화성DT,경기 수원시 팔달구 우만동 490-4,경기 수원시 팔달구 경수대로 676,24시간
포천DT,경기 포천시 설운동 13-7,경기 포천시 호국로 894,24시간
홈플러스 상동점,경기 부천시 상동 540-1,경기 부천시 길주로 118 (상동),"10:00~23:30
2,4째주 일요일 휴무"
분당효자점,경기 성남시 분당구 서현동 305-2,경기 성남시 분당구 불정로 379 (서현동),10:30 ~ 22:00
의정부GS DT점,경기 의정부시 호원동 435,경기 의정부시 평화로 315 (호원동) ,08:00~24:00
정발산,경기 고양시 일산동구 장항동 770-2,경기 고양시 일산동구 중앙로1275번길 38-5 이레21빌딩,24시간
철산역점,경기 광명시 철산동 404,경기 광명시 오리로856번길 17 (철산동) ,24시간
평촌호계점,경기 안양시 동안구 호계동 1058-3,경기 안양시 동안구 평촌대로 137 (호계동) ,08:00~01:00
과천이마트,경기 과천시 별양동 1-19,경기 과천시 별양상가3로 11 1층,07:00~01:00
중동DT점,경기 부천시 중동 1142-9,경기 부천시 중동로262번길 94 (중동) ,24시간
용인점,경기 용인시 처인구 김량장동 131-17,경기 용인시 처인구 금령로 97 (김량장동) ,09:00~01:00
송탄,경기 평택시 신장동 302-1,경기 평택시 쇼핑로 13,08:00~24:00
시흥은행,경기 시흥시 은행동 532-1,경기 시흥시 대은로 90,24시간
덕소,경기 남양주시 와부읍 덕소리 474-5,경기 남양주시 와부읍 덕소로 93 희빌딩 1층,24시간
탄현점,경기 고양시 일산서구 탄현동 1573-1,경기 고양시 일산서구 일현로 56 (탄현동) ,"주말 08:00~01:00
주중 09:00~01:00"
고양DT,경기 고양시 덕양구 벽제동 262-1,경기 고양시 덕양구 호국로 1699,06:00 ~ 02:00
행신,경기 고양시 덕양구 행신동 714-1,경기 고양시 덕양구 충경로 38,24시간
시화이마트,경기 시흥시 정왕동 1734-2,"경기 시흥시 정왕대로 210 (정왕동, EMART시화점 1층)","10:00~22:30
2,4째주 일요일 휴무"
화정역,경기 고양시 덕양구 화정동 970-3,경기 고양시 덕양구 화신로272번길 67,24시간
광명역점,경기 광명시 광명동 158-792,경기 광명시 광명로 895-1 (광명동),24시간
안양,경기 안양시 만안구 안양동 674-208,경기 안양시 만안구 안양로292번길 22,24시간
세이브존 광명,경기 광명시 철산동 367,경기 광명시 철망산로 87,08:00~21:00
강선,경기 고양시 일산서구 주엽동 51-1,"경기 고양시 일산서구 대산로 113 1층 맥도날드(주엽동, 백마프라자)",24시간
의왕오전DT,경기 의왕시 오전동 207-1,경기 의왕시 경수대로 351,24시간
수원 성균관대,경기 수원시 장안구 율전동 291-6,경기 수원시 장안구 서부로 2127,24시간
경희대국제캠퍼스,경기 수원시 영통구 영통동 1024-9,경기 수원시 영통구 덕영대로 1703 아이시티,24시간
성남신흥DT점,경기 성남시 수정구 신흥동 181,경기 성남시 수정구 수정로 306 (신흥동) ,07:00~01:00
수원 아주대점,경기 수원시 영통구 원천동 18-1,경기 수원시 영통구 아주로 46 (원천동),08:00~24:00
마석DT,경기 남양주시 화도읍 마석우리 481-2,경기 남양주시 화도읍 비룡로 89,24시간
수내역,경기 성남시 분당구 수내동 18-1,경기 성남시 분당구 백현로101번길 29 C&C 빌딩 1층,24시간
수원인계DT,경기 수원시 팔달구 인계동 363-3,경기 수원시 팔달구 권광로 261,24시간
구리 수택,경기 구리시 수택동 526-4,경기 구리시 검배로 7 (수택동),08:00~24:00
군포산본DT점,경기 군포시 산본동 51-1,경기 군포시 고산로 715 (산본동),24시간
수원 망포DT,경기 수원시 영통구 망포동 21-1,경기도 수원시 영통구 덕영대로 1499 (망포동),24시간
김포장기 DT,경기 김포시 장기동 1911-2,경기 김포시 김포한강1로 77-40,24시간
수원세류DT,경기 수원시 권선구 세류동 1155-8,경기 수원시 권선구 경수대로 195,24시간
동두천지행DT,경기 동두천시 지행동 340-1,경기 동두천시 평화로 2290,24시간
부천북부역,경기 부천시 심곡동 175-6,경기 부천시 부천로 11,08:00~24:00
김포감정DT점,경기 김포시 감정동 504-6,경기 김포시 중봉로25번길 21,08:00~01:00
양주휴게소DT,경기 양주시 장흥면 삼하리 250-16,경기 양주시 장흥면 서울외곽순환고속도로 58 양주간이휴게시설내 양주휴게소DT점,24시간
하남시청DT점,경기 하남시 신장동 522-5,경기 하남시 대청로 25,"평일 07:00 ~ 21:00
주말&공휴일 10:30 ~ 20:00"
용인 신갈 DT점,경기 용인시 기흥구 영덕동 40-2,경기 용인시 기흥구 중부대로 266,07:00~24:00
용인시청DT,경기 용인시 처인구 삼가동 250-34,경기 용인시 처인구 중부대로 1166(삼가동),24시간
화성봉담DT,경기 화성시 기안동 357-5,경기 화성시 효행로 269,07:00~24:00
광명소하DT점,경기 광명시 소하동 1340,경기 광명시 오리로 512,07:00~23:00
수원정자DT,경기 수원시 장안구 정자동 76-18,경기 수원시 장안구 수성로 267,24시간
용인동백DT,경기 용인시 기흥구 상하동 455-2,경기 용인시 기흥구 어정로 108-1,24시간
이천 DT,경기 이천시 중리동 461-3,경기 이천시 경충대로 2578,24시간
부천심곡DT,경기 부천시 심곡본동 559,경기 부천시 경인로 170,07:00~01:00
부천원종DT,경기 부천시 원종동 376-6,경기 부천시 소사로 689,24시간
부천역곡역DT,경기 부천시 괴안동 112-23,경기 부천시 경인로 487,24시간
고양풍동DT,경기 고양시 일산동구 풍동 148-3,경기 고양시 일산동구 백마로 493,24시간
군포당동SK DT,경기 군포시 당동 871-2,경기 군포시 고산로 259,07:00~01:00
광명DT,경기 광명시 광명동 754-4,경기 광명시 광명로 765,24시간
판교테크노밸리,경기 성남시 분당구 삼평동 680,경기 성남시 분당구 판교역로 231 H스퀘어 S동 1층,09:00 ~ 21:00
화성향남DT,경기 화성시 향남읍 방축리 297-75,경기 화성시 향남읍 행정남로 120,24시간
서판교 DT,경기 성남시 분당구 운중동 1017,경기 성남시 분당구 운중로 190,08:00~24:00
구리인창 DT,경기 구리시 인창동 410-5,경기 구리시 동구릉로 130,08:00~24:00
안산고잔 DT,경기 안산시 단원구 고잔동 705-5,경기 안산시 단원구 광덕3로 145-3,24시간
고양원당DT점,경기 고양시 덕양구 주교동 610-4,경기 고양시 덕양구 호국로 777,07:30 ~ 24:00
평택소사벌점,경기 평택시 비전동 1090-2,경기 평택시 평남로 862,08:00~24:00
용인보라DT,경기 용인시 기흥구 하갈동 142-8,경기 용인시 기흥구 용구대로 1861,24시간
고양 삼송 DT,경기 고양시 덕양구 동산동 74-1,경기 고양시 덕양구 고양대로 1948,24시간
경기 광주 DT,경기 광주시 쌍령동 155-18,경기 광주시 경충대로 1477,24시간
원주 단계 DT점,강원 원주시 단계동 879-1,강원 원주시 서원대로 154 (단계동) ,07:00~01:00
원주단구DT점,강원 원주시 단구동 1026-16,강원 원주시 서원대로 426 (단구동) ,07:00~01:00
속초DT,강원 속초시 조양동 636-53,강원 속초시 동해대로 4118,24시간
강릉,강원 강릉시 임당동 86,강원 강릉시 경강로 2097,24시간
춘천퇴계DT,강원 춘천시 퇴계동 418-20,강원 춘천시 영서로 2173,24시간
동해DT,강원 동해시 천곡동 1066,강원 동해시 한섬로 93,24시간
춘천후평DT,강원 춘천시 후평동 702-5,강원 춘천시 후석로 334,24시간
청주비하 DT,충북 청주시 흥덕구 비하동 671-12,충북 청주시 흥덕구 2순환로 1076,24시간
청주봉명 DT,충북 청주시 흥덕구 봉명동 1405,충북 청주시 흥덕구 1순환로 518,24시간
청주성화,충북 청주시 서원구 성화동 721,충북 청주시 서원구 서부로 1344,08:00~24:00
충주교현 DT,충북 충주시 교현동 624-1,충북 충주시 국원대로 87,24시간
청주분평DT,충북 청주시 서원구 분평동 241-4,충북 청주시 서원구 청남로 1991,24시간
청주율량GS DT점,충북 청주시 청원구 율량동 769,충북 청주시 청원구 공항로 156,24시간
청주금천 DT,충북 청주시 상당구 금천동 44-1,충북 청주시 상당구 중고개로 281,24시간
제천DT점,충북 제천시 청전동 165-5,충북 제천시 의림대로 202,07:00~01:00
천안원성 DT,충남 천안시 동남구 원성동 442-1,충남 천안시 동남구 천안대로 699,24시간
천안 쌍용역 DT점,충남 천안시 서북구 쌍용동 394-10,충남 천안시 서북구 충무로 166 (쌍용동),08:00~01:00
천안두정 DT점,충남 천안시 서북구 두정동 620,충남 천안시 서북구 동서대로 49 (두정동) ,24시간
충남당진DT,충남 당진시 읍내동 423-39,충남 당진시 서문1길 62-18,24시간
천안고속버스터미널,충남 천안시 동남구 신부동 363-2,충남 천안시 동남구 만남로 43 1층,24시간
충남아산DT,충남 아산시 온천동 36-28,충남 아산시 충무로 37,08:00~22:00
서산DT,충남 서산시 예천동 524-26,충남 서산시 충의로 3,24시간
충남보령DT,충남 보령시 궁촌동 345-4,충남 보령시 터미널길 3,24시간
충남논산DT,충남 논산시 내동 343-1,충남 논산시 시민로 247,24시간
충남홍성DT,충남 홍성군 홍성읍 소향리 72-4,충남 홍성군 홍성읍 충서로 1528,07:00~24:00
전주인후DT점,전북 전주시 덕진구 인후동2가 1529-4,전북 전주시 덕진구 백제대로 692 (인후동2가) ,07:00~02:00
전주송천 DT,전북 전주시 덕진구 송천동2가 527,전북 전주시 덕진구 송천중앙로 200,24시간
전주중화산점,전북 전주시 완산구 중화산동2가 648-11,전북 전주시 완산구 백제대로 238 (중화산동2가) ,24시간
원광대,전북 익산시 신동 762-17,전북 익산시 무왕로 888,09:00~02:00
군산이마트,전북 군산시 경암동 590-296,전북 군산시 구암3.1로 137,"10:00~23:00
2,4째주 일요일 휴무"
전주덕진 DT,전북 전주시 덕진구 덕진동1가 1401-18,전북 전주시 덕진구 기린대로 503,08:00~02:00
전주효자 DT,전북 전주시 완산구 효자동1가 411-24,전북 전주시 완산구 용머리로 13,24시간
군산나운DT,전북 군산시 나운동 844-6,전북 군산시 나운로 132,24시간
익산영등DT점,전북 익산시 영등동 747-8,전북 익산시 무왕로 1046,24시간
전주평화 DT,전북 전주시 완산구 평화동1가 732-1,전북 전주시 완산구 모악로 4758,07:00~02:00
전북정읍DT,전북 정읍시 수성동 524-17,전북 정읍시 남북로 51,08:00~01:00
순천덕암DT점,전남 순천시 덕암동 146-32,전남 순천시 구암원길 1 (덕암동),07:00~00:00
목포석현DT,전남 목포시 석현동 816-85,전남 목포시 영산로 577,24시간
여수이마트,전남 여수시 오림동 405-1,전남 여수시 좌수영로 277 이마트내 1층 맥도날드,"10:00~23:00 2,4째주 일요일 휴무"
전남대 DT,광주 북구 용봉동 127-1,광주 북구 우치로 134,24시간
목포하당DT점,전남 목포시 상동 1126-2,전남 목포시 통일대로 88 (상동),08:00~24:00
순천조례DT,전남 순천시 조례동 382-1,전남 순천시 순광로 75,24시간
여수 학동 DT점,전남 여수시 학동 82-3,전남 여수시 망마로 9 (학동) ,24시간
목포남악DT점,전남 무안군 삼향읍 남악리 2148,전남 무안군 삼향읍 남악3로 58,07:00~01:00
광양DT,전남 광양시 중동 1309-3,전남 광양시 동광길 5,07:00~24:00
김천평화DT점,경북 김천시 평화동 2-2,경북 김천시 자산로 199,24시간
구미도량 DT,경북 구미시 도량동 524-3,경북 구미시 야은로 447,07:00~01:00
경주황남 DT,경북 경주시 노서동 169-4,경북 경주시 태종로 701,24시간
포항북부 DT,경북 포항시 북구 두호동 724,경북 포항시 북구 삼호로 202,24시간
포항남부DT점,경북 포항시 남구 대잠동 915,경북 포항시 남구 새천년대로 470 (대잠동) ,24시간
포항장성DT점,경북 포항시 북구 장성동 1576-5,경북 포항시 북구 새천년대로 1261 (장성동) ,24시간
이마트 포항점,경북 포항시 남구 인덕동 161-176,경북 포항시 남구 냉천로 10 (인덕동) ,10:00~22:30
구미형곡점,경북 구미시 형곡동 146-9,경북 구미시 형곡중앙로 31 (형곡동),08:00~24:00
포항 2,경북 포항시 북구 상원동 466-1,경북 포항시 북구 중앙로 291,08:00~24:00
경주,경북 경주시 노동동 102-6,경북 경주시 중앙로 35,08:00~23:00
경주보문DT,경북 경주시 신평동 436,경북 경주시 보문로 441,08:00~24:00
구미인동DT,경북 구미시 인의동 1004-1,경북 구미시 인동북길 155,24시간
구미옥계DT점,경북 구미시 옥계동 362-1,경북 구미시 옥계2공단로 390,24시간
경주용강 DT,경북 경주시 용강동 875,경북 경주시 산업로 4364,24시간
영천DT,경북 영천시 망정동 206-9,경북 영천시 호국로 141,09:00~22:00
통영죽림DT,경남 통영시 광도면 죽림리 1569-1,경남 통영시 광도면 죽림4로 36,07:00~02:00
창원역DT점,경남 창원시 의창구 팔용동 149-4,경남 창원시 의창구 의창대로 50 (팔용동) ,07:00~24:00
사천DT,경남 사천시 사천읍 수석리 320-11,경남 사천시 사천읍 사천대로 1838,07:00~24:00
김해삼계 DT,경남 김해시 삼계동 1460-5,경남 김해시 가야로 167,24시간
창원상남,경남 창원시 성산구 상남동 35-1,"경남 창원시 성산구 단정로 22, 1층",24시간
김해삼정 DT,경남 김해시 삼정동 616-3,경남 김해시 김해대로 2471,24시간
진주칠암 DT,경남 진주시 주약동 94-1,경남 진주시 진주대로 838,24시간
옥포 SK DT,경남 거제시 옥포동 551-1,경남 거제시 거제대로 3714 (옥포동),24시간
마산신포DT,경남 창원시 마산합포구 신포동1가 25-1,경남 창원시 마산합포구 서성로 8,24시간
웅상DT,경남 양산시 삼호동 1016-9,경남 양산시 웅상대로 1259,24시간
거제,경남 거제시 장평동 1211,경남 거제시 장평로 12 디큐브백화점 1층,24시간
창원시티7,경남 창원시 의창구 대원동 121,경남 창원시 의창구 원이대로 320 더시티세븐몰 W-103 맥도날드,24시간
양산DT점,경남 양산시 동면 석산리 1421-9,경남 양산시 동면 남양산길 7,24시간
창원이마트,경남 창원시 성산구 중앙동 91,경남 창원시 성산구 원이대로 608,10:00~22:30
진주신안,경남 진주시 신안동 582-3,경남 진주시 진양호로 280 (신안동) ,08:00~02:00
진해,경남 창원시 진해구 화천동 48-15,경남 창원시 진해구 벚꽃로 68-1,08:00~01:00
신마산,경남 창원시 마산합포구 해운동 5-119,경남 창원시 마산합포구 월영동서로 20,24시간
합성,경남 창원시 마산회원구 합성동 126-1,경남 창원시 마산회원구 3.15대로 742-1,24시간
진해자은 DT,경남 창원시 진해구 자은동 808-2,경남 창원시 진해구 진해대로 950,24시간
창원사파DT,경남 창원시 성산구 사파동 97-4,경남 창원시 성산구 창이대로706번길 2,24시간
김해외동DT점,경남 김해시 외동 238-3,경남 김해시 분성로 144 (외동),24시간
창원내서DT,경남 창원시 마산회원구 내서읍 중리 1043-8,경남 창원시 마산회원구 내서읍 광려천서로 77 맥도날드 창원내서DT점,24시간
양산북정 DT점,경남 양산시 신기동 545-7,경남 양산시 양산대로 925,24시간
양산덕계DT점,경남 양산시 평산동 16-6,경남 양산시 웅상대로 910,07:00~24:00
밀양 DT,경남 밀양시 삼문동 397,경남 밀양시 밀양대로 1872,24시간
김해장유 DT,경남 김해시 대청동 316-1,경남 김해시 삼문로 34,24시간
진주가좌DT,경남 진주시 가좌동 644-3,경남 진주시 진주대로 612,24시간
진해용원DT,경남 창원시 진해구 용원동 1213-19,경남 창원시 진해구 용원로7번길 10,08:00~24:00
진주혁신GSDT,경남 진주시 충무공동 222-1,경남 진주시 동진로 581,08:00~24:00
마산석전DT,경남 창원시 마산회원구 석전동 261-14,경남 창원시 마산회원구 3.15대로 601,24시간
제주서귀포DT,제주특별자치도 서귀포시 서귀동 284-29,제주특별자치도 서귀포시 일주동로 8665 (서귀동),24시간
제주시청 DT,제주특별자치도 제주시 이도이동 1057-2,제주특별자치도 제주시 중앙로 277,24시간
제주노형 DT,제주특별자치도 제주시 노형동 903-5,제주특별자치도 제주시 노연로 7,24시간
탑동,제주특별자치도 제주시 건입동 1442,제주특별자치도 제주시 임항로 17 (건입동),07:00~01:00
제주일도 DT,제주특별자치도 제주시 일도이동 369-11,제주특별자치도 제주시 동광로 134,24시간
제주공항DT점,제주특별자치도 제주시 용담이동 1787,제주특별자치도 제주시 도령로 159,08:00~24:00
제주월드컵스타디움DT,제주특별자치도 서귀포시 강정동 231-1,제주특별자치도 서귀포시 일주서로 7,07:00~24:00
제주중문DT,제주특별자치도 서귀포시 색달동 2558-1,제주특별자치도 서귀포시 중문관광로 38,08:00~23:00
제주도남DT,제주특별자치도 제주시 도남동 419,제주특별자치도 제주시 연북로 434,07:00~24:00
